country,year,pop,continent,lifeExp,gdpPercap,iso_alpha,iso_num,gini_index_latest,infant_mortality_per_1000_latest,gini_index_year,infant_mortality_per_1000_year
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384,AFG,4.0,,86.8,,2007.0
Albania,2007,3600523.0,Europe,76.423,5937.029526,ALB,8.0,30.6,11.9,2005.0,2007.0
Algeria,2007,33333216.0,Africa,72.301,6223.367465,DZA,12.0,35.3,26.9,1995.0,2007.0
Angola,2007,12420476.0,Africa,42.731,4797.231267,AGO,24.0,51.9,66.0,2000.0,2007.0
Argentina,2007,40301927.0,Americas,75.32,12779.37964,ARG,32.0,46.3,13.6,2007.0,2007.0
Australia,2007,20434176.0,Oceania,81.235,34435.36744,AUS,36.0,33.1,4.5,2004.0,2007.0
Austria,2007,8199783.0,Europe,79.829,36126.4927,AUT,40.0,30.6,3.9,2007.0,2007.0
Bahrain,2007,708573.0,Asia,75.635,29796.04834,BHR,48.0,,8.1,,2007.0
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792,BGD,50.0,33.2,41.8,2005.0,2007.0
Belgium,2007,10392226.0,Europe,79.441,33692.60508,BEL,56.0,29.2,3.9,2007.0,2007.0
Benin,2007,8078314.0,Africa,56.728,1441.284873,BEN,204.0,38.6,67.9,2003.0,2007.0
Bolivia,2007,9119152.0,Americas,65.554,3822.137084,BOL,68.0,54.5,37.7,2007.0,2007.0
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803,BIH,70.0,34.3,6.2,2007.0,2007.0
Botswana,2007,1639131.0,Africa,50.728,12569.85177,BWA,72.0,61.5,50.3,2002.0,2007.0
Brazil,2007,190010647.0,Americas,72.39,9065.800825,BRA,76.0,54.9,18.6,2007.0,2007.0
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282,BGR,100.0,36.1,9.9,2007.0,2007.0
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994,BFA,854.0,43.3,74.1,2003.0,2007.0
Burundi,2007,8390505.0,Africa,49.58,430.0706916,BDI,108.0,33.4,66.0,2006.0,2007.0
Cambodia,2007,14131858.0,Asia,59.723,1713.778686,KHM,116.0,,46.3,,2007.0
Cameroon,2007,17696293.0,Africa,50.43,2042.09524,CMR,120.0,42.8,69.9,2007.0,2007.0
Canada,2007,33390141.0,Americas,80.653,36319.23501,CAN,124.0,33.8,5.2,2007.0,2007.0
Central African Republic,2007,4369038.0,Africa,44.741,706.016537,CAF,140.0,59.7,85.3,1992.0,2007.0
Chad,2007,10238807.0,Africa,50.651,1704.063724,TCD,148.0,39.8,88.3,2003.0,2007.0
Chile,2007,16284741.0,Americas,78.553,13171.63885,CHL,152.0,47.7,7.6,2006.0,2007.0
China,2007,1318683096.0,Asia,72.961,4959.114854,CHN,156.0,40.9,16.1,2005.0,2007.0
Colombia,2007,44227550.0,Americas,72.889,7006.580419,COL,170.0,53.9,17.7,2005.0,2007.0
Comoros,2007,710960.0,Africa,65.152,986.1478792,COM,174.0,55.9,51.7,2004.0,2007.0
Congo Dem. Rep.,2007,64606759.0,Africa,46.462,277.5518587,,,,,,
Congo Rep.,2007,3800610.0,Africa,55.322,3632.557798,,,,,,
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142,CRI,188.0,49.3,9.5,2007.0,2007.0
Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112,CIV,384.0,41.3,75.3,2002.0,2007.0
Croatia,2007,4493312.0,Europe,75.748,14619.22272,HRV,191.0,29.7,5.3,2004.0,2007.0
Cuba,2007,11416987.0,Americas,78.273,8948.102923,CUB,192.0,,5.2,,2007.0
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851,CZE,203.0,26.0,3.2,2007.0,2007.0
Denmark,2007,5468120.0,Europe,78.332,35278.41874,DNK,208.0,26.2,3.8,2007.0,2007.0
Djibouti,2007,496374.0,Africa,54.791,2082.481567,DJI,262.0,40.0,69.5,2002.0,2007.0
Dominican Republic,2007,9319622.0,Americas,72.235,6025.374752,DOM,214.0,48.9,30.6,2007.0,2007.0
Ecuador,2007,13755680.0,Americas,74.994,6873.262326,ECU,218.0,53.4,18.1,2007.0,2007.0
Egypt,2007,80264543.0,Africa,71.338,5581.180998,EGY,818.0,31.8,30.1,2004.0,2007.0
El Salvador,2007,6939688.0,Americas,71.878,5728.353514,SLV,222.0,45.2,18.1,2007.0,2007.0
Equatorial Guinea,2007,551201.0,Africa,51.579,12154.08975,GNQ,226.0,,83.6,,2007.0
Eritrea,2007,4906585.0,Africa,58.04,641.3695236,ERI,232.0,,40.8,,2007.0
Ethiopia,2007,76511887.0,Africa,52.947,690.8055759,ETH,231.0,29.8,67.7,2004.0,2007.0
Finland,2007,5238460.0,Europe,79.313,33207.0844,FIN,246.0,28.3,2.8,2007.0,2007.0
France,2007,61083916.0,Europe,80.657,30470.0167,FRA,250.0,32.4,3.2,2007.0,2007.0
Gabon,2007,1454867.0,Africa,56.735,13206.48452,GAB,266.0,42.2,41.9,2005.0,2007.0
Gambia,2007,1688359.0,Africa,59.448,752.7497265,GMB,270.0,47.3,57.3,2003.0,2007.0
Germany,2007,82400996.0,Europe,79.406,32170.37442,DEU,276.0,31.2,3.7,2007.0,2007.0
Ghana,2007,22873338.0,Africa,60.022,1327.60891,GHA,288.0,42.8,50.7,2005.0,2007.0
Greece,2007,10706290.0,Europe,79.483,27538.41188,GRC,300.0,34.0,3.5,2007.0,2007.0
Guatemala,2007,12572928.0,Americas,70.259,5186.050003,GTM,320.0,54.5,31.5,2006.0,2007.0
Guinea,2007,9947814.0,Africa,56.007,942.6542111,GIN,324.0,39.4,77.9,2007.0,2007.0
Guinea-Bissau,2007,1472041.0,Africa,46.388,579.231743,GNB,624.0,35.6,78.2,2002.0,2007.0
Haiti,2007,8502814.0,Americas,60.916,1201.637154,HTI,332.0,59.0,59.1,2001.0,2007.0
Honduras,2007,7483763.0,Americas,70.198,3548.330846,HND,340.0,55.8,22.3,2007.0,2007.0
Hong Kong China,2007,6980412.0,Asia,82.208,39724.97867,,,,,,
Hungary,2007,9956108.0,Europe,73.338,18008.94444,HUN,348.0,27.9,5.8,2007.0,2007.0
Iceland,2007,301931.0,Europe,81.757,36180.78919,ISL,352.0,29.5,2.2,2007.0,2007.0
India,2007,1110396331.0,Asia,64.698,2452.210407,IND,356.0,27.7,52.5,2004.0,2007.0
Indonesia,2007,223547000.0,Asia,70.65,3540.651564,IDN,360.0,33.2,30.6,2007.0,2007.0
Iran,2007,69453570.0,Asia,70.964,11605.71449,IRN,364.0,44.8,20.6,2006.0,2007.0
Iraq,2007,27499638.0,Asia,59.545,4471.061906,IRQ,368.0,28.6,33.5,2006.0,2007.0
Ireland,2007,4109086.0,Europe,78.885,40675.99635,IRL,372.0,31.9,3.9,2007.0,2007.0
Israel,2007,6426679.0,Asia,80.745,25523.2771,ISR,376.0,41.1,4.1,2007.0,2007.0
Italy,2007,58147733.0,Europe,80.546,28569.7197,ITA,380.0,32.9,3.6,2007.0,2007.0
Jamaica,2007,2780132.0,Americas,72.567,7320.880262,JAM,388.0,45.5,17.4,2004.0,2007.0
Japan,2007,127467972.0,Asia,82.603,31656.06806,JPN,392.0,,2.6,,2007.0
Jordan,2007,6053193.0,Asia,72.535,4519.461171,JOR,400.0,33.9,18.5,2006.0,2007.0
Kenya,2007,35610177.0,Africa,54.11,1463.249282,KEN,404.0,46.4,45.0,2005.0,2007.0
Korea Dem. Rep.,2007,23301725.0,Asia,67.297,1593.06548,,,,,,
Korea Rep.,2007,49044790.0,Asia,78.623,23348.13973,,,,,,
Kuwait,2007,2505559.0,Asia,77.588,47306.98978,KWT,414.0,,9.6,,2007.0
Lebanon,2007,3921278.0,Asia,71.993,10461.05868,LBN,422.0,,12.3,,2007.0
Lesotho,2007,2012649.0,Africa,42.592,1569.331442,LSO,426.0,51.2,79.0,2002.0,2007.0
Liberia,2007,3193942.0,Africa,45.678,414.5073415,LBR,430.0,36.4,79.8,2007.0,2007.0
Libya,2007,6036914.0,Africa,73.952,12057.49928,LBY,434.0,,15.7,,2007.0
Madagascar,2007,19167654.0,Africa,59.443,1044.770126,MDG,450.0,39.9,50.3,2005.0,2007.0
Malawi,2007,13327079.0,Africa,48.303,759.3499101,MWI,454.0,39.9,59.1,2004.0,2007.0
Malaysia,2007,24821286.0,Asia,74.241,12451.6558,MYS,458.0,44.8,6.5,2006.0,2007.0
Mali,2007,12031795.0,Africa,54.467,1042.581557,MLI,466.0,38.9,83.4,2006.0,2007.0
Mauritania,2007,3270065.0,Africa,64.164,1803.151496,MRT,478.0,40.2,47.2,2004.0,2007.0
Mauritius,2007,1250882.0,Africa,72.801,10956.99112,MUS,480.0,35.7,13.3,2006.0,2007.0
Mexico,2007,108700891.0,Americas,76.195,11977.57496,MEX,484.0,49.7,18.4,2006.0,2007.0
