country,year,pop,continent,lifeExp,gdpPercap,health_expenditure,gpd,drinking_water,literancy_rate,mortality_rate,gpd_trilhoes
Afghanistan,1952,8425333.0,Asia,28.801,779.4453145,,,,,,
Afghanistan,1957,9240934.0,Asia,30.332,820.8530296,,,,,,
Afghanistan,1962,10267083.0,Asia,31.997,853.10071,,,,,246.4,
Afghanistan,1967,11537966.0,Asia,34.02,836.1971382,,,,,232.4,
Afghanistan,1972,13079460.0,Asia,36.088,739.9811058,,,,,245.2,
Afghanistan,1977,14880372.0,Asia,38.438,786.11336,,,,,201.1,
Afghanistan,1982,12881816.0,Asia,39.854,978.0114388,,,,,199.1,
Afghanistan,1987,13867957.0,Asia,40.822,852.3959448,,,,,176.9,
Afghanistan,1992,16317921.0,Asia,41.674,649.3413952,,,,,137.2,
Afghanistan,1997,22227415.0,Asia,41.763,635.341351,,,,,119.6,
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548,9.44339085,3825701438.99963,31.8360773279001,,104.3,3.83
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384,9.90467453,9747886187.39393,42.4294955631251,,86.8,9.75
Albania,1952,1282697.0,Europe,55.23,1601.056136,,,,,,
Albania,1957,1476505.0,Europe,59.28,1942.284244,,,,,,
Albania,1962,1728137.0,Europe,64.82,2312.888958,,,,,,
Albania,1967,1984060.0,Europe,66.22,2760.196931,,,,,,
Albania,1972,2263554.0,Europe,67.69,3313.422188,,,,,,
Albania,1977,2509048.0,Europe,68.93,3533.00391,,,,,,
Albania,1982,2780097.0,Europe,70.42,3630.880722,,1861163170.16317,,,47.9,1.86
Albania,1987,3075321.0,Europe,72.0,3738.932735,,2080796250.0,,,32.5,2.08
Albania,1992,3326498.0,Europe,71.581,2497.437901,,652174990.837304,,,24.9,0.65
Albania,1997,3428038.0,Europe,72.95,3193.054604,,2293666029.99318,,,20.4,2.29
Albania,2002,3508512.0,Europe,75.651,4604.211737,5.59802675,4515003116.68036,87.4516361586881,,16.1,4.52
Albania,2007,3600523.0,Europe,76.423,5937.029526,5.85639858,11116937869.8568,90.0041896316486,,11.9,11.12
Algeria,1952,9279525.0,Africa,43.077,2449.008185,,,,,,
Algeria,1957,10270856.0,Africa,45.685,3013.976023,,,,,,
Algeria,1962,11000948.0,Africa,48.303,2550.81688,,2001444543.91885,,,161.3,2.0
Algeria,1967,12760499.0,Africa,51.407,3246.991771,,3370870376.29682,,,162.4,3.37
Algeria,1972,14760787.0,Africa,54.518,4182.663766,,6766743956.88889,,,152.5,6.77
Algeria,1977,17152804.0,Africa,58.014,4910.416756,,20972113684.9558,,,128.1,20.97
Algeria,1982,20033753.0,Africa,61.368,5745.160213,,45207167470.3497,,,86.8,45.21
Algeria,1987,23254956.0,Africa,65.799,5681.358539,,66745818375.493,,49.6300010681152,44.4,66.75
Algeria,1992,26298373.0,Africa,67.744,5023.216647,,48003133346.9957,,,39.5,48.0
Algeria,1997,29072015.0,Africa,69.152,4797.295051,,48177612042.1507,,,37.6,48.18
Algeria,2002,31287142.0,Africa,70.994,5288.040382,3.44169641,61516103406.1688,89.3436399760295,69.870002746582,32.5,61.52
Algeria,2007,33333216.0,Africa,72.301,6223.367465,3.62011433,142482739809.849,90.1767439508853,,26.9,142.48
Angola,1952,4232095.0,Africa,30.015,3520.610273,,,,,,
Angola,1957,4561361.0,Africa,31.999,3827.940465,,,,,,
Angola,1962,4826015.0,Africa,34.0,4269.276742,,,,,,
Angola,1967,5247469.0,Africa,35.985,5522.776375,,,,,,
Angola,1972,5894858.0,Africa,37.928,5473.288005,,,,,,
Angola,1977,6162675.0,Africa,39.483,3008.647355,,,,,,
Angola,1982,7016384.0,Africa,39.942,2756.953672,,5550483035.96497,,,121.7,5.55
Angola,1987,7874230.0,Africa,39.906,2430.208311,,8084412414.26566,,,117.8,8.08
Angola,1992,8735988.0,Africa,40.647,2627.845685,,8307810973.58848,,,119.0,8.31
Angola,1997,9875024.0,Africa,40.963,2277.140884,,7648380195.59902,,,117.2,7.65
Angola,2002,10866106.0,Africa,41.003,2773.287312,2.9398222,17311512432.451,38.8353924997189,,98.4,17.31
Angola,2007,12420476.0,Africa,42.731,4797.231267,2.65790844,73037821926.6813,46.4686546771725,,66.0,73.04
Argentina,1952,17876956.0,Americas,62.485,5911.315053,,,,,,
Argentina,1957,19610538.0,Americas,64.399,6856.856212,,,,,,
Argentina,1962,21283783.0,Americas,65.142,7133.166023,,18337691145.3688,,,,18.34
Argentina,1967,22934225.0,Americas,65.634,8052.953021,,24256667553.2569,,,,24.26
Argentina,1972,24779799.0,Americas,67.065,9443.038526,,34733000536.2862,,,58.0,34.73
Argentina,1977,26983828.0,Americas,68.481,10079.02674,,56781000101.0848,,,47.0,56.78
Argentina,1982,29341374.0,Americas,69.942,8997.897412,,84307486836.724,,,31.1,84.31
Argentina,1987,31620918.0,Americas,70.774,9139.671389,,108810885301.253,,,25.0,108.81
Argentina,1992,33958947.0,Americas,71.868,9308.41871,,228778917308.17,,,23.8,228.78
Argentina,1997,36203463.0,Americas,73.275,10967.28195,,292859000000.0,,,18.9,292.86
Argentina,2002,38331121.0,Americas,74.34,8797.640716,7.33203077,97724004251.8602,96.755473929203,,15.8,97.72
Argentina,2007,40301927.0,Americas,75.32,12779.37964,7.86196613,287530508430.568,97.8403603213706,,13.6,287.53
Australia,1952,8691212.0,Oceania,69.12,10039.59564,,,,,,
Australia,1957,9712569.0,Oceania,70.33,10949.64959,,,,,,
Australia,1962,10794968.0,Oceania,70.93,12217.22686,,19953923192.6277,,,19.5,19.95
Australia,1967,11872264.0,Oceania,71.1,14526.12465,,30487524878.004,,,18.3,30.49
Australia,1972,13177000.0,Oceania,71.93,16788.62948,,52117990654.2056,,,16.9,52.12
Australia,1977,14074100.0,Oceania,73.49,18334.19751,,110504702913.512,,,12.7,110.5
